Transaction Name,Round,Round - Classification,Investor Names,Organization Name,Funding Type,Money Raised (in USD),Announced Date,Announce Year,Lead Investors,Pre-Money Valuation (in USD),Total Funding Amount (in USD),Estimated Valuation
Venture Round - Dream11,Venture Round,Late-stage,"Alpha Wave Global, D1 Capital Partners, DST Global, Footpath Ventures, RedBird Capital Partners, Tiger Global Management, TPG",Dream11,Venture - Series Unknown,"$834,170,262 ",11/24/21,2021,"Alpha Wave Global, D1 Capital Partners, DST Global, RedBird Capital Partners, Tiger Global Management","$7,148,778,842 ","$1,618,988,532 ",51.52%
Series F - Instacart,Series F,Venture-Growth,"Coatue, Tiger Global Management, Valiant Capital Partners",Instacart,Series F,"$271,000,000 ",11/15/18,2018,Tiger Global Management,"$7,529,000,000 ","$2,919,023,124 ",9.28%
Series E - Coinbase,Series E,Venture-Growth,"Andreessen Horowitz, Andréa Riom, Benjamin Kong, GIC, Initialized Capital, K2 Global, Kingsley Advani, Manhattan Venture Partners (MVP), Next Play Capital, Polychain, Snow K., Tiger Global Management, True Capital Management, Wellington Management, Y Combinator",Coinbase,Series E,"$300,000,000 ",10/30/18,2018,Tiger Global Management,"$7,700,000,000 ","$1,853,684,825 ",16.18%
Series F - ServiceTitan,Series F,Venture-Growth,"Arena Holdings, Battery Ventures, Bessemer Venture Partners, Dragoneer Investment Group, Durable Capital Partners, H.I.G. Growth Partners, ICONIQ Growth, Index Ventures, K5 Global, Sequoia Capital Global Equities, Tiger Global Management",ServiceTitan,Series F,"$500,000,000 ",3/26/21,2021,"Sequoia Capital Global Equities, Tiger Global Management","$7,800,000,000 ","$1,464,777,129 ",34.13%
Private Equity Round - BYJU'S,Private Equity Round,Venture-Growth,"General Atlantic, Tiger Global Management",BYJU'S,Private Equity,"$200,000,000 ",1/9/20,2020,Tiger Global Management,"$7,800,000,000 ","$6,312,628,405 ",3.17%
Series D - Nuro,Series D,Late-stage,"Baillie Gifford, Fidelity, Gaorong Capital, Google, Kroger, SoftBank Vision Fund, T. Rowe Price, Tiger Global Management, Woven Capital",Nuro,Series D,"$600,000,000 ",11/2/21,2021,Tiger Global Management,"$8,000,000,000 ","$2,132,148,855 ",28.14%
Series E - Kavak,Series E,Venture-Growth,"D1 Capital Partners, Founders Fund, General Catalyst, Ribbit Capital, Sea, SoftBank, The Spruce House Partnership, Tiger Global Management",Kavak,Series E,"$700,000,000 ",9/22/21,2021,General Catalyst,"$8,000,000,000 ","$2,393,250,000 ",29.25%
Series F - Snyk,Series F,Venture-Growth,"Accel, Addition, Alkeon Capital, Atlassian Ventures, Baillie Gifford, BlackRock, boldstart ventures, Canaan Partners, Coatue, Franklin Templeton, Geodesic Capital, Koch, Inc., Lone Pine Capital, Salesforce Ventures, Sands Capital Ventures, T. Rowe Price, Temasek Holdings, Tiger Global Management, Whale Rock Capital Management",Snyk,Series F,"$304,000,000 ",9/9/21,2021,"Sands Capital Ventures, Tiger Global Management","$8,196,000,000 ","$1,195,500,000 ",25.43%
Series E - Zuoyebang,Series E,Venture-Growth,"Alibaba Group, FountainVest Partners, HongShan, SoftBank Vision Fund, Tiger Global Management",Zuoyebang,Series E,"$1,600,000,000 ",12/28/20,2020,,"$8,400,000,000 ","$2,935,000,000 ",54.51%
Series G - ServiceTitan,Series G,Venture-Growth,"Battery Ventures, Bessemer Venture Partners, Dragoneer Investment Group, ICONIQ Growth, Index Ventures, Sequoia Capital Global Equities, T. Rowe Price, Thoma Bravo, Tiger Global Management",ServiceTitan,Series G,"$200,000,000 ",6/30/21,2021,Thoma Bravo,"$9,300,000,000 ","$1,464,777,129 ",13.65%
Series E - OutSystems,Series E,Venture-Growth,"Abdiel Capital, Armilar Venture Partners, Goldman Sachs, Guidepost Growth Equity, Kohlberg Kravis Roberts, Tiger Global Management",OutSystems,Series E,"$150,000,000 ",2/17/21,2021,"Abdiel Capital, Tiger Global Management","$9,350,000,000 ","$802,081,804 ",18.70%
Venture Round - Squarespace,Venture Round,Late-stage,"Accel, D1 Capital Partners, Dragoneer Investment Group, Fidelity, General Atlantic, T. Rowe Price, The Spruce House Partnership, Tiger Global Management",Squarespace,Venture - Series Unknown,"$300,000,000 ",3/16/21,2021,,"$9,700,000,000 ","$578,500,000 ",51.86%
Series E - UiPath,Series E,Venture-Growth,"Accel, Alkeon Capital, Anchor Capital GP, Coatue, Dragoneer Investment Group, Harmony Partners, IVP, Madrona, Sequoia Capital, T. Rowe Price, Tencent, Tiger Global Management, Two Culture Capital, Wellington Partners",UiPath,Series E,"$225,000,000 ",7/31/20,2020,"Alkeon Capital, Coatue","$10,000,000,000 ","$1,993,025,000 ",11.29%
Private Equity Round - BYJU'S,Private Equity Round,Venture-Growth,"Alkeon Capital, BlackRock, General Atlantic, Owl Ventures, Sands Capital Ventures, Silver Lake, Tiger Global Management",BYJU'S,Private Equity,"$500,000,000 ",9/8/20,2020,Silver Lake,"$10,600,000,000 ","$6,312,628,405 ",7.92%
Series G - Snowflake,Series G,Venture-Growth,"Dragoneer Investment Group, Employee Stock Option Fund, Global Secure Invest, ICONIQ Growth, Meritech Capital Partners, Salesforce Ventures, Tiger Global Management",Snowflake,Series G,"$479,000,000 ",2/7/20,2020,"Dragoneer Investment Group, Global Secure Invest, Salesforce Ventures","$11,921,000,000 ","$2,029,355,548 ",23.60%
Series D - Brex,Series D,Late-stage,"Baillie Gifford, DST Global, Durable Capital Partners, Endeavor Catalyst, GIC, Greenoaks, Madrone Capital Partners, Ribbit Capital, TCV, Tiger Global Management, Y Combinator Continuity Fund",Brex,Series D,"$300,000,000 ",10/22/21,2021,"Greenoaks, TCV","$12,000,000,000 ","$1,464,120,000 ",20.49%
Series F - Chime,Series F,Venture-Growth,"Access Technology Ventures, Coatue, Dragoneer Investment Group, DST Global, General Atlantic, ICONIQ Capital, ICONIQ Growth, Light Street Capital, Tiger Global Management, Whale Rock Capital Management",Chime,Series F,"$533,828,122 ",9/18/20,2020,,"$13,967,000,000 ","$2,292,603,117 ",23.28%
Series H - Discord,Series H,Venture-Growth,"Baillie Gifford, Coatue, DDJ Capital Management, Dragoneer Investment Group, Edelweiss Capital, Fidelity, Franklin Templeton, IVP, Mirae Asset, northstar.vc, Sony Interactive Entertainment, Tiger Global Management",Discord,Series H,"$500,000,000 ",9/15/21,2021,Dragoneer Investment Group,"$14,500,000,000 ","$995,408,718 ",50.23%
Series C - Checkout.com,Series C,Late-stage,"Blossom Capital, Coatue, DST Global, Endeavor Catalyst, GIC, Greenoaks, Insight Partners, TeleSoft Partners, Tiger Global Management",Checkout.com,Series C,"$450,000,000 ",1/11/21,2021,Tiger Global Management,"$14,555,000,000 ","$1,830,000,000 ",24.59%
Venture Round - JUUL,Venture Round,Late-stage,"Applied BioSciences Corp., Bracket Capital, D1 Capital Partners, Darsana Capital Partners, E Squared Capital Management, Fidelity, Sand Hill Angels, Tiger Global Management",JUUL,Venture - Series Unknown,"$650,000,000 ",7/10/18,2018,Tiger Global Management,"$15,000,000,000 ","$16,447,162,407 ",3.95%
Series E - Stripe,Series E,Venture-Growth,"Andreessen Horowitz, DST Global, General Catalyst, Khosla Ventures, Kleiner Perkins, Sequoia Capital, Thrive Capital, Tiger Global Management",Stripe,Series E,"$245,000,000 ",9/27/18,2018,Tiger Global Management,"$19,755,000,000 ","$9,440,247,725 ",2.60%
Series E - Stripe,Series E,Venture-Growth,"Abstract Labs LLC, Novator, Tiger Global Management",Stripe,Series E,"$100,000,000 ",1/29/19,2019,Tiger Global Management,"$22,400,000,000 ","$9,440,247,725 ",1.06%
Series G - Chime,Series G,Venture-Growth,"Dragoneer Investment Group, Empede Capital, General Atlantic, Sequoia Capital Global Equities, Skip Capital, SoftBank Vision Fund, Tiger Global Management",Chime,Series G,"$750,000,000 ",8/13/21,2021,Sequoia Capital Global Equities,"$24,250,000,000 ","$2,292,603,117 ",32.71%
Series B - FTX,Series B,Early-stage,"BlackRock, Hercules Capital, ICONIQ Growth, IVP, Lightspeed Venture Partners, Ontario Teachers' Pension Plan, Ribbit Capital, Sequoia Capital, Temasek Holdings, Tiger Global Management, Titanium Ventures",FTX,Series B,"$420,690,000 ",10/21/21,2021,"Ontario Teachers' Pension Plan, Sequoia Capital","$24,579,310,000 ","$1,828,690,000 ",23.00%
Series G - Databricks,Series G,Venture-Growth,"Alkeon Capital, Amazon Web Services, Andreessen Horowitz, BlackRock, CapitalG, Coatue, CPP Investments, Discovery Capital, Dragoneer Investment Group, Fidelity, Founders Circle Capital, Franklin Templeton, Geodesic Capital, GIC, Green Bay Ventures, Greenoaks, Microsoft, New Enterprise Associates, Octahedron Capital, Salesforce Ventures, T. Rowe Price, Tiger Global Management, Whale Rock Capital Management",Databricks,Series G,"$1,000,000,000 ",2/1/21,2021,Franklin Templeton,"$27,000,000,000 ","$3,997,000,000 ",25.02%
Series H - Roblox,Series H,Venture-Growth,"Altimeter Capital, Altos Ventures, Andreessen Horowitz, Dragoneer Investment Group, Employee Stock Option Fund, Investment Group of Santa Barbara, Tiger Global Management, Warner Music Group",Roblox,Series H,"$520,000,000 ",1/6/21,2021,"Altimeter Capital, Dragoneer Investment Group","$28,980,000,000 ","$856,742,214 ",60.70%
Series E - Revolut,Series E,Venture-Growth,"KAAN Ventures, SoftBank Vision Fund, Sprints, Target Global, Tiger Global Management",Revolut,Series E,"$800,000,000 ",7/15/21,2021,"SoftBank Vision Fund, Tiger Global Management","$32,200,000,000 ","$1,738,057,579 ",46.03%
Private Equity Round - Flipkart,Private Equity Round,Venture-Growth,"Antara Capital Master Fund, CPP Investments, DisruptAD, Franklin Templeton, GIC, Khazanah Nasional, Qatar Investment Authority, SoftBank Vision Fund, Tencent, Tiger Global Management, Walmart, Willoughby Capital",Flipkart,Private Equity,"$3,600,000,000 ",7/12/21,2021,"CPP Investments, GIC, SoftBank Vision Fund, Walmart","$34,000,000,000 ","$15,261,884,737 ",23.59%
Series F - UiPath,Series F,Venture-Growth,"Alkeon Capital, Altimeter Capital, Coatue, Dragoneer Investment Group, IVP, Sequoia Capital, T. Rowe Price, Tiger Global Management",UiPath,Series F,"$750,000,000 ",2/1/21,2021,"Alkeon Capital, Coatue","$34,250,000,000 ","$1,993,025,000 ",37.63%
Series H - Databricks,Series H,Venture-Growth,"Alta Park Capital, Andreessen Horowitz, Baillie Gifford, BlackRock, ClearBridge Investments, Coatue, Counterpoint Global, CPP Investments, Discovery Capital, Dragoneer Investment Group, Fidelity, Flucas Ventures, Franklin Templeton, Gaingels, Geodesic Capital, GIC, Green Bay Ventures, Greenoaks, Insight Partners, New Enterprise Associates, Octahedron Capital, Race Capital, T. Rowe Price, Templeton Private Equity Partners, The House Fund, Tiger Global Management, UC Investments, Whale Rock Capital Management",Databricks,Series H,"$1,600,000,000 ",8/31/21,2021,Counterpoint Global,"$36,400,000,000 ","$3,997,000,000 ",40.03%
Series A - Cents,Series A,Early-stage,"Bessemer Venture Partners, Cloud Capital, Tiger Global Management",Cents,Series A,"$25,000,000 ",1/1/22,2022,Tiger Global Management,,"$74,249,999 ",33.67%
Seed Round - Link Financial Technologies,Seed Round,Seed,"Amplo, Edward Lando, Jon Oringer, Pareto Holdings, Quiet Capital, Tiger Global Management",Link Financial Technologies,Seed,"$10,000,000 ",1/1/22,2022,Tiger Global Management,,"$30,000,000 ",33.33%
Seed Round - Axis,Seed Round,Seed,"Everywhere Ventures, Firstminute Capital, Raba Partnership, RaliCap, Richard Aseme, Sawari Ventures, Suya Ventures, Tiger Global Management, Two Culture Capital",Axis,Seed,"$8,250,000 ",1/1/22,2022,"Raba Partnership, Sawari Ventures, Tiger Global Management",,"$8,250,000 ",100.00%
Series A - GreenSpark Software,Series A,Early-stage,"Bienville Capital, Tiger Global Management",GreenSpark Software,Series A,"$5,000,000 ",12/20/21,2021,Tiger Global Management,,"$14,400,000 ",34.72%
Seed Round - Metaphor,Seed Round,Seed,"House Capital, Infinity Ventures Crypto, Kraken Ventures, Not Boring Capital, Orange DAO, Shrug Capital, Tiger Global Management",Metaphor,Seed,"$3,053,000 ",12/19/21,2021,,,"$4,238,000 ",72.04%
Seed Round - CreditBook,Seed Round,Seed,"Banana Capital, Better Tomorrow Ventures, Firstminute Capital, i2i Ventures, Julian Shapiro, Ratio Ventures, Sriram Krishnan, Tiger Global Management, VentureSouq",CreditBook,Seed,"$11,000,000 ",12/16/21,2021,"Better Tomorrow Ventures, Tiger Global Management",,"$12,500,000 ",88.00%
Series B - Elementary Robotics,Series B,Early-stage,"Fathom Capital, Fika Ventures, Riot Ventures, Threshold, Tiger Global Management, Toyota Ventures",Elementary Robotics,Series B,"$30,000,000 ",12/16/21,2021,Tiger Global Management,,"$47,500,000 ",63.16%
Series B - Nowports,Series B,Early-stage,"Base10 Partners, Broadhaven Capital Partners, DST Global, Foundation Capital, JAM Fund, monashees, MOOR, Mouro Capital, SOFTBANK Latin America Ventures, Tiger Global Management",Nowports,Series B,"$60,000,000 ",12/16/21,2021,Tiger Global Management,,"$242,600,000 ",24.73%
Series A - Fable,Series A,Early-stage,"Bossanova Investimentos, Breyer Capital, Defy.vc, Gaingels, Redpoint, Tiger Global Management",Fable,Series A,"$20,000,000 ",12/16/21,2021,Tiger Global Management,,"$36,047,571 ",55.48%
Series B - Mesh Payments,Series B,Early-stage,"Alpha Wave Global, Entrée Capital, Meron Capital, Tiger Global Management, TLV Partners",Mesh Payments,Series B,"$50,000,000 ",12/14/21,2021,Tiger Global Management,,"$126,000,000 ",39.68%
Series B - Ophelia,Series B,Early-stage,"Elliot Cohen, Four Acres Capital, General Catalyst, Good Friends, Interplay, Menlo Ventures, Refactor, Tiger Global Management",Ophelia,Series B,"$50,000,000 ",12/14/21,2021,Tiger Global Management,,"$67,700,000 ",73.86%
Series B - Robust Intelligence,Series B,Early-stage,"Engineering Capital, Harpoon, Sequoia Capital, Tiger Global Management",Robust Intelligence,Series B,"$30,000,000 ",12/9/21,2021,Tiger Global Management,,"$44,000,000 ",68.18%
Funding Round - Braintrust,Funding Round,Late-stage,"Blockchange Ventures, Coatue, Hashkey Exchange, Tiger Global Management, True Ventures",Braintrust,Funding Round,"$100,000,000 ",12/9/21,2021,Coatue,,"$123,500,000 ",80.97%
Series A - Easol,Series A,Early-stage,"FMZ Ventures, Foundation Capital, Notion Capital, Tiger Global Management, Y Combinator",Easol,Series A,"$25,000,000 ",12/8/21,2021,Tiger Global Management,,"$29,620,000 ",84.40%
Series B - TRM Labs,Series B,Early-stage,"American Express Ventures, B Capital, Bessemer Venture Partners, Block, Inc., Blockchain Capital, Cap Table Coalition, Castle Island Ventures, Citi Ventures, DRW Venture Capital, Emilie Choi, Frank Slootman, Initialized Capital, Intersection Fintech Ventures, JP Morgan Chase, Jump Capital, Marshall Wace, Michael Scarpelli, Operator Partners, PayPal Ventures, Quiet Capital, Tiger Global Management, Visa",TRM Labs,Series B,"$60,000,000 ",12/7/21,2021,Tiger Global Management,,"$149,900,000 ",40.03%
Seed Round - Mach9,Seed Round,Seed,"Andrew Vigneault, Quiet Capital, Tiger Global Management, Vishal Rao",Mach9,Seed,"$2,300,000 ",12/6/21,2021,Tiger Global Management,,"$16,834,828 ",13.66%
Seed Round - Carma,Seed Round,Seed,Tiger Global Management,Carma,Seed,"$19,736,643 ",12/6/21,2021,Tiger Global Management,,"$71,684,263 ",27.53%
Venture Round - EatClub,Venture Round,Late-stage,Tiger Global Management,EatClub,Venture - Series Unknown,"$40,000,000 ",12/3/21,2021,Tiger Global Management,,"$44,200,000 ",90.50%
Series B - Commonwealth Fusion,Series B,Early-stage,"Bill Gates, Breakthrough Energy Ventures, Coatue, DFJ Growth, Emerson Collective, Eni, Equinor Ventures, Fine Structure Venture, FootPrint Coalition, Future Ventures, Google, Helena, Hostplus, Jameel Investment Management Company, John Doerr, JS Capital, Khosla Ventures, Larry Kubal, Lowercarbon Capital, Moore Strategic Ventures, Quiet Capital, Roman Smolevskiy, Safar Partners, Sand Hill Angels, Schooner Capital, Senator Investment Group, Soros Fund Management, Starbridge Venture Capital, Starlight Ventures, Temasek Holdings, The Engine, Tiger Global Management, Time Ventures",Commonwealth Fusion,Series B,"$1,800,000,000 ",12/1/21,2021,Tiger Global Management,,"$2,014,000,000 ",89.37%
Series B - Klue,Series B,Early-stage,"BDC, Craft Ventures, Founders.ai, Hummer Winblad Venture Partners, OMERS Ventures, Rhino Ventures, Salesforce Ventures, SK Ventures, Tiger Global Management",Klue,Series B,"$62,000,000 ",12/1/21,2021,Tiger Global Management,,"$83,000,000 ",74.70%
Seed Round - Harbinger,Seed Round,Seed,"Bharat Forge, Ironspring Ventures, Jackson Moses, Overture VC, Ridgeline, Schematic Ventures, Tiger Global Management",Harbinger,Seed,"$24,700,000 ",12/1/21,2021,Tiger Global Management,,"$185,110,008 ",13.34%
Series A - Mr Yum,Series A,Early-stage,"Airtree Ventures, Commerce Ventures, Everywhere Ventures, Flying Fox Ventures, Nick Shelton, Patty Mills, Ruslan Kogan, Rüfüs Du Sol, Saniel Ventures, Scott Farquhar, Skip Capital, TEN13, Tiger Global Management, VU Venture Partners, Wildcard Ventures",Mr Yum,Series A,"$63,595,822 ",11/29/21,2021,Tiger Global Management,,"$73,131,637 ",86.96%
Series B - Buf,Series B,Early-stage,"Addition, Greenoaks, Haystack, Lightspeed Venture Partners, Lux Capital, Tiger Global Management",Buf,Series B,"$68,000,000 ",11/23/21,2021,"Lux Capital, Tiger Global Management",,"$93,466,515 ",72.75%
Series A - Cortex,Series A,Early-stage,"Alexandr Wang, Angel Collective Opportunity Fund, Brian Emerson, Cailen D'Sa, Dheeraj Khanna, Gaetan Castelein, Gokul Rajaram, Jack Altman, Mathilde Collin, Peter McKay, Rafael Garcia, Russell D'Sa, Sequoia Capital, Shawn Burke, Sriram Krishnan, Tiger Global Management, Vijay Nambiar",Cortex,Series A,"$15,000,000 ",11/18/21,2021,"Sequoia Capital, Tiger Global Management",,"$112,650,000 ",13.32%
Series B - Chiper,Series B,Early-stage,"Alter Global, Bossanova Investimentos, Endeavor Catalyst, FJ Labs, Flucas Ventures, InQlab, Interplay, Nosara Capital, Tiger Global Management",Chiper,Series B,"$53,000,000 ",11/18/21,2021,Nosara Capital,,"$78,000,000 ",67.95%
Series A - SVT Robotics,Series A,Early-stage,"9Yards Capital, Prologis Ventures, Schematic Ventures, Tiger Global Management",SVT Robotics,Series A,"$25,000,000 ",11/16/21,2021,Tiger Global Management,,"$30,600,000 ",81.70%
Series A - Circle,Series A,Early-stage,"Ankur Nagpal, BoxGroup, Brendon Burchard, David Eckstein, Mathilde Collin, Notation Capital, Scott Belsky, Spearhead, Terrence Rohan, Tiger Global Management, Zachary Sims",Circle,Series A,"$24,900,000 ",11/15/21,2021,Tiger Global Management,,"$30,400,000 ",81.91%
Series B - Monograph,Series B,Early-stage,"Designer Fund, Homebrew, Index Ventures, Parade Ventures, Tiger Global Management, Tishman Speyer",Monograph,Series B,"$20,000,000 ",11/15/21,2021,Tiger Global Management,,"$29,300,000 ",68.26%
Series B - Forte,Series B,Early-stage,"Andreessen Horowitz, Animoca Brands, California Technology Ventures, Cosmos Network, Griffin Gaming Partners, Kora, Overwolf, PLAYSTUDIOS, Samsung NEXT’s Q Fund, Solana, Tiger Global Management, Warner Music Group, zVentures",Forte,Series B,"$725,000,000 ",11/12/21,2021,Kora,,"$910,000,000 ",79.67%
Series B - Telio.vn,Series B,Early-stage,"GGV Capital, Tiger Global Management, VNG",Telio.vn,Series B,"$22,511,159 ",11/12/21,2021,VNG,,"$64,011,159 ",35.17%
Series A - Hive,Series A,Early-stage,"Activant Capital, Amplifier, Earlybird Venture Capital, Flixfounders, Picus Capital, Tiger Global Management",Hive,Series A,"$34,000,000 ",11/11/21,2021,Tiger Global Management,,"$73,981,837 ",45.96%
Post-IPO Equity - Embark Trucks,Post-IPO Equity,Venture-Growth,"CPP Investments, Knight-Swift Transporation, Mubadala Capital Ventures, Sequoia Capital, Tiger Global Management",Embark Trucks,Post-IPO Equity,"$200,000,000 ",11/11/21,2021,,,"$317,125,000 ",63.07%
Series A - Zak,Series A,Early-stage,"BASE 10, Canary, monashees, Tiger Global Management, Valor Capital Group",Zak,Series A,"$15,000,000 ",11/10/21,2021,Tiger Global Management,,"$15,000,000 ",100.00%
Series A - Moov,Series A,Early-stage,"Avenir, Gavin Baker, NFX, Tiger Global Management, Valor Equity Partners",Moov,Series A,"$41,000,000 ",11/10/21,2021,Tiger Global Management,,"$47,400,000 ",86.50%
Secondary Market - Assignar,Secondary Market,Venture-Growth,"Fifth Wall, HighSage Ventures, John Curtius, SecondQuarter Ventures, Tiger Global Management",Assignar,Secondary Market,"$16,500,000 ",11/8/21,2021,"SecondQuarter Ventures, Tiger Global Management",,"$44,476,914 ",37.10%
Post-IPO Equity - Nextdoor,Post-IPO Equity,Venture-Growth,"ARK Investment Management, Baron Capital, Dragoneer Investment Group, Soroban Capital Partners LP, T. Rowe Price, Tiger Global Management",Nextdoor,Post-IPO Equity,"$270,000,000 ",11/8/21,2021,,,"$723,800,000 ",37.30%
Series C - Frubana,Series C,Late-stage,"Citius, DST Global, Lightspeed Venture Partners, monashees, Notable Capital, SoftBank, Tiger Global Management",Frubana,Series C,"$94,099,653 ",11/4/21,2021,DST Global,,"$271,099,653 ",34.71%
Series A - Float,Series A,Early-stage,"A-Star, Andrew Macdonald, Anshul Ruparell, Brent Belzberg, Dan Park, Garage Capital, Global Founders Capital, Golden Ventures, Jamie McDonald, Kirk Simpson, Les Whiting, Michael Katchen, Micheal Hyatt, Rhianna Brancato, Richard Seibel, Ross Jones, Susa Ventures, Tiger Global Management, Tiny Capital",Float,Series A,"$29,890,898 ",11/3/21,2021,Tiger Global Management,,"$71,740,171 ",41.67%
Seed Round - Faze,Seed Round,Seed,"Bow Capital, Coatue, Courtside Ventures, Dapper Labs, Peak XV Partners, Samsung NEXT, Tiger Global Management",Faze,Seed,"$17,400,000 ",11/3/21,2021,Tiger Global Management,,"$117,400,000 ",14.82%
Seed Round - Tarabut,Seed Round,Seed,Tiger Global Management,Tarabut,Seed,"$12,000,000 ",11/2/21,2021,Tiger Global Management,,"$57,000,000 ",21.05%
Series C - OctoAI,Series C,Late-stage,"Addition, Amplify Partners, Madrona, Tiger Global Management",OctoAI,Series C,"$85,000,000 ",11/1/21,2021,Tiger Global Management,,"$131,900,000 ",64.44%
Seed Round - Oico,Seed Round,Seed,"CSN Inova Ventures, FJ Labs, MAYA Capital, Tiger Global Management, Valor Capital Group",Oico,Seed,"$5,500,000 ",10/30/21,2021,Valor Capital Group,,"$7,125,000 ",77.19%
Series A - SWAP,Series A,Early-stage,"Ariel Lambrecht, Canary, DST Global, Endeavor Catalyst, FJ Labs, Flourish Ventures, Global Founders Capital, Guilherme Bonifacio, JAM Fund, Justin Mateen, ONEVC, Scale-Up Ventures, Tiger Global Management",SWAP,Series A,"$25,000,000 ",10/28/21,2021,Tiger Global Management,,"$28,300,000 ",88.34%
Seed Round - Union54,Seed Round,Seed,"ACE & Company, Babs Ogundeyi, DFS Lab, Gbenga Ajayi, Goodwater Capital, Risana Zitha, Runa Capital, The Todd & Rahul Angel Fund, Tiger Global Management, True Capital Management, Ventures Platform, Vibe VC, Zrosk Investment Management",Union54,Seed,"$3,000,000 ",10/27/21,2021,Tiger Global Management,,"$15,125,000 ",19.83%
Series A - QuickNode,Series A,Early-stage,"Angel Collective Opportunity Fund, Anthony Pompliano, Arrington XRP Capital, Crossbeam Venture Partners, Oldslip, Seven Seven Six, Soma Capital, Tiger Global Management",QuickNode,Series A,"$35,000,000 ",10/27/21,2021,Tiger Global Management,,"$101,900,000 ",34.35%
Series C - Abacus.AI,Series C,Late-stage,"Alkeon Capital, Coatue, Index Ventures, Tiger Global Management",Abacus.AI,Series C,"$50,000,000 ",10/27/21,2021,Tiger Global Management,,"$90,250,000 ",55.40%
Series A - UserGems,Series A,Early-stage,"Battery Ventures, Corp Capital, Craft Ventures, Everywhere Ventures, Tiger Global Management, Uncork Capital",UserGems,Series A,"$20,000,000 ",10/26/21,2021,Craft Ventures,,"$22,400,000 ",89.29%
Series A - Authing,Series A,Early-stage,"Agora Ventures, CDH Investments, GGV Capital, MiraclePlus, Tiger Global Management",Authing,Series A,"$23,000,000 ",10/23/21,2021,Tiger Global Management,,"$29,230,000 ",78.69%
Series A - Pomelo,Series A,Early-stage,"9Yards Capital, Alter Global, Angela Strange, Biz Stone, BoxGroup, Eric Glyman, Gilgamesh Ventures, Greyhound Capital, Index Ventures, Insight Partners, Itai Damti, Jackie Reses, Karim Atiyeh, Max Levchin, Max Tayenthal, monashees, Norte Ventures, Predictive VC, QED Investors, SciFi VC, Tiger Global Management, William Hockey",Pomelo,Series A,"$35,000,000 ",10/21/21,2021,Tiger Global Management,,"$103,000,000 ",33.98%
Series A - Scribe,Series A,Early-stage,"AME Cloud Ventures, Amplify Partners, Eric Wu, Haystack, John Thompson, Morado Ventures, Nick Mehta, Scott Belsky, Sweat Equity Ventures, The New Normal Fund, Tiger Global Management, Wolfswood Partners, XYZ Venture Capital",Scribe,Series A,"$22,000,000 ",10/18/21,2021,Tiger Global Management,,"$55,000,000 ",40.00%
Series A - CopyAI,Series A,Early-stage,"Craft Ventures, Elad Gil, Sequoia Capital, Tiger Global Management, Wing Venture Capital",CopyAI,Series A,"$11,000,000 ",10/14/21,2021,Wing Venture Capital,,"$16,900,000 ",65.09%
Series A - Resq,Series A,Early-stage,"9Yards Capital, A* Capital, Bastian Lehmann, Brian Pokorny, Burst Capital, Canvas Ventures, Gokul Rajaram, Golden Ventures, Harley Finkelstein, Homebrew, Inovia Capital, Jeff Jordan, Lenny Rachitsky, LVL1 Group, Maple VC, Matthew Tucker, Max Mullen, Michael Katchen, Michael Mina, Michael Mulcahy, Nilam Ganenthiran, Polar Ventures, RSE Ventures, Stanley Tang, Tiger Global Management, Tom Colicchio, Tony Xu, Union",Resq,Series A,"$39,000,000 ",10/12/21,2021,"Canvas Ventures, Tiger Global Management",,"$46,500,000 ",83.87%
Series A - Favo,Series A,Early-stage,"David Vélez, Elevar Equity, FJ Labs, Global Founders Capital, H20 Capital, H2O Venture Partners, Kevin Efrusy, Positive Ventures, Tiger Global Management",Favo,Series A,"$25,100,000 ",10/6/21,2021,Tiger Global Management,,"$31,100,000 ",80.71%
Series C - Progcap,Series C,Late-stage,"Creation Investments Capital Management, LLC, Peak XV Partners, Tiger Global Management",Progcap,Series C,"$29,635,377 ",10/4/21,2021,"Creation Investments Capital Management, LLC, Tiger Global Management",,"$150,624,557 ",19.67%
Series A - Ontop,Series A,Early-stage,"17Sigma, H20 Capital, Open Opportunity Fund, Point72 Ventures, Tiger Global Management",Ontop,Series A,"$20,000,000 ",10/4/21,2021,"Point72 Ventures, Tiger Global Management",,"$35,000,000 ",57.14%
Series A - Higo,Series A,Early-stage,"Accel, Audacious Ventures, Claire Hughes Johnson, Cristina Cordova, Haystack, Homebrew, J Ventures, Susa Ventures, Tiger Global Management",Higo,Series A,"$23,000,000 ",9/30/21,2021,Accel,,"$26,300,000 ",87.45%
Series B - Lifebit,Series B,Early-stage,"Beacon Capital, Eurazeo, Pentech Ventures, Tiger Global Management",Lifebit,Series B,"$60,000,000 ",9/28/21,2021,Tiger Global Management,,"$70,620,000 ",84.96%
Series B - Emerge,Series B,Early-stage,"9Yards Capital, Greycroft, Interplay, Latitude Ventures, NewRoad Capital Partners, The Spruce House Partnership, Tiger Global Management",Emerge,Series B,"$130,000,000 ",9/23/21,2021,"9Yards Capital, The Spruce House Partnership, Tiger Global Management",,"$172,500,000 ",75.36%
